,Job Title,Company,Date Posted,Post Link,Description
13,C# .Net Core Developer Junior,Reganam Ltd,EmployerActive 1 day ago,https://ie.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bjr_TiQvs1Gvwq_DxqQZR0cLNtfyHOorxnaelh4sMeSwhoqhAUPWJIO8wwJ09_IPBVgzTO9EQLfJUIAATRfEVL5IjZH9_m_jrRMfckLwXonzIDj0TAD3-lp_EgZuvWXGBEzGk7WJqxYAs9lCD7_h_5Al76cTiM7_blEIwcQGTZGJxiXR2e4O_H8SE5Ty2d02skyjLdYyLcAZBdIqDqPjeXItmCxkXkeHqYJBfh3GqhhWlIP1uwunL6nrc2BoIatgJvoy0qGXAlisAZPqxGJNY8TI_Nybpe98iGPOIVbuYwFe2WZoXxTVUDRVA2uaCCygH-H4tAzLaVWnHi058000-gzb-RVbUvgnK2iyQmkz5-mhC2Tv5SBbEFCXykCS9PiWmFW2YR34DotZYYOChQcGqWwFLyKCQ5FzyJuKA8w33JGt-AdgEplS__pRT3n4HzHHCLfhmMBxM8ObtAvaaQfZ7fK2_oycNsCbf52JvO2CMaPlUDB4DWCsYX&p=13&fvj=1&vjs=3,Part-time hours: 20 per week.
14,Graduate Software Development Engineer,Intel,Posted21 days ago,https://ie.indeed.com/rc/clk?jk=accb1baf4d112e84&fccid=936367796261bd6e&vjs=3,"Specific technical activities will vary depending on which team a candidate is placed and in all cases, you will be working on our current cutting-edge…"
15,Munich Re Automation Solutions jobs,Munich Re Automation Solutions,Posted1 day ago,https://ie.indeed.com/Munich-Re-Automation-Solutions-jobs,"Help build software components that are robust, reliable, testable, and easy for other developers to understand.Contribute to the knowledge base."
16,AccountsIQ,AccountsIQ,Posted16 days ago,https://ie.indeed.com/cmp/Accountsiq-Limited,"As a full stack intern, reporting to the Head of Engineering, you will have the opportunity to collaborate with an international team."
17,General Motors,General Motors,Posted1 day ago,https://ie.indeed.com/cmp/General-Motors,"For this developer role within General Motors, you are responsible for developing software applications using sound, repeatable, industry standard methodologies…"
18,Oracle,Oracle,Posted10 days ago,https://ie.indeed.com/cmp/Oracle,"Applicants are required to read, write, and speak the following languages: English.You will join a team that is responsible for designing and building Web UI’s…"
19,Unique Way Limited jobs,Unique Way Limited,Posted2 days ago,https://ie.indeed.com/Unique-Way-Limited-jobs,We are looking out for a Flutter Developer with some Angular knowledge who will be running and designing product application features across various cross…
20,Bonkers Money jobs,Bonkers Money,Posted30+ days ago,https://ie.indeed.com/Bonkers-Money-jobs,"Assist in mentoring junior developers by encouraging collaboration, participation, and creative thinking.Communicate effectively with creative leads, client…"
21,"JPMorgan Chase Bank, N.A. jobs","JPMorgan Chase Bank, N.A.",Posted6 days ago,"https://ie.indeed.com/JPMorgan-Chase-Bank,-N.a.-jobs","Much of our support and software development focuses on optimizing existing systems, building infrastructure and eliminating work through automation."
22,Deloitte,Deloitte,Posted30+ days ago,https://ie.indeed.com/cmp/Deloitte,Deloitte will ensure any reasonable accommodations are implemented as part of the recruitment and selection process.
23,Bynaric jobs,Bynaric,Posted3 days ago,https://ie.indeed.com/Bynaric-jobs,Previous working experience as a PHP / Laravel developer for at least 2 year(s).Coordinate with co-developers and keep project manager well informed of the…
24,Citi,Citi,Posted4 days ago,https://ie.indeed.com/cmp/Citi,The Applications Development Intermediate Programmer Analyst is an intermediate level position responsible for participation in the establishment and…
25,Intuition jobs,Intuition,Posted30+ days ago,https://ie.indeed.com/Intuition-jobs,"The Multimedia team of developers works within a wider team of writers, editors and designers building high-end learning materials for a multi-screen, multi…"
26,Microsoft,Microsoft,Posted6 days ago,https://ie.indeed.com/cmp/Microsoft,"Experienced developer: your code is maintainable, elegant and testable.The Product Release and Security Services (PRSS) engineering team manages a portfolio of…"
27,Version 1,Version 1,Posted30+ days ago,https://ie.indeed.com/cmp/Version-1,Expected to have a good understanding of the design & build phase of the project lifecycle.Coding new developments and / or enhancements as defined in a…
28,Salesforce,Salesforce,Posted30+ days ago,https://ie.indeed.com/cmp/Salesforce,"Salesforce TMP (Technology, Marketing and Products) is looking for someone who can drive the technical solution to automate the tracking and reporting of…"
29,"Guidewire Software, Inc.","Guidewire Software, Inc.",Posted30+ days ago,"https://ie.indeed.com/cmp/Guidewire-Software,-Inc.",Jutro enables developers to seamlessly develop Guidewire applications for customers and empowers designers to create consistent and cohesive user experience…
30,"Graduate Consultant Developer - Front-End - Dublin, Ireland","Guidewire Software, Inc.",Posted30+ days ago,https://ie.indeed.com/rc/clk?jk=6537dea847136476&fccid=be90d89fb010b0bf&vjs=3,Jutro enables developers to seamlessly develop Guidewire applications for customers and empowers designers to create consistent and cohesive user experience…
