,Job Title,Company,Date Posted,Post Link,Description
18,Senior Python Developer,Harvey Nash,Updated 30/04/2022,https://www.irishjobs.ie/Jobs/Senior-Python-Developer-8771868.aspx,Harvey Nash are looking for a highly skilled Senior Python developer's to join an exciting global financial giant to work on a highly interesting project in market risk. * Python Python Django Flask - The position itself will be a fast paced development role and our client is looking for an experienced developer who can hit the ground running. * Django/flask
19,Python Developer,Computer Futures,Updated 30/04/2022,https://www.irishjobs.ie/Jobs/Python-Developer-8771393.aspx,"My client is looking for a Python developer to join this very exciting startup. They have an immediate need to recruit a Python Developer to work alongside their Solution Architect and Product Development Team. - Very competent with Python, both with and without the use of frameworks such as Django and Flask - Excellent working knowledge of Python"
20,Python Engineer,Reperio Human Capital Ltd,Updated 29/04/2022,https://www.irishjobs.ie/Jobs/Python-Engineer-8778808.aspx,5+ years experience with open source languages such as Python/Spark/Scala - Cork (Remote) Daily Rate: €400-€450 - 12 month rolling contract - I am currently working with a global innovative technology company with offices in the south of Ireland. They would like an intelligent engineer to join analytics engineers on the building new data pipelines.
21,Python Developers,Reperio Human Capital Ltd,Updated 29/04/2022,https://www.irishjobs.ie/Jobs/Python-Developers-8778704.aspx,"Python | Django | PostfreSQL | Dublin | Ireland - My client in Dublin are looking for experienced backend Python developers (mid-level to senior) to join their team on a permanent, full-time basis. The ideal candidate will have strong python programming skills and will ideally have experience with Django and PostgreSQL (if your eager to learn this also helps!)."
22,Senior Python and AWS Developer - Remote anywhere in the EU,Reperio Human Capital Ltd,Updated 29/04/2022,https://www.irishjobs.ie/Jobs/Senior-Python-and-AWS-Developer-8771238.aspx,I am working with a cyber security company based in Ireland who are urgently looking for a Senior Python and AWS developer to join their team. * Strong Python development experience (3-5 years) AWS Python Remote EU Cybersecurity Ireland - Location - Ireland/EU/Remote - Permanent Full-Time - Job Description
23,Application Developer (SQL & Python),IT Alliance Group,Updated 29/04/2022,https://www.irishjobs.ie/Jobs/Application-Developer-SQL-Python-8778984.aspx,Applications Developer (SQL & Python) Leading fund management company with significant operations in 30+ countries including has an urgent - Applications Developer (SQL & Python)
24,Software Engineer  ( Python),Astreya,Updated 06/05/2022,https://www.irishjobs.ie/Jobs/Software-Engineer-Python-8771027.aspx,"Knowledge of Python/ Bash is required. Customize software for Python-based legacy systems in the network to improve system performance. Development background and experience with Python. We are looking for an experienced Software Engineer to join our Team. In this role, you will be able to design and test software that automates"
25,Python Engineer  - Contract Positions,Stelfox,Updated 27/04/2022,https://www.irishjobs.ie/Jobs/Python-Engineer-Contract-Positions-8777573.aspx,"Python Engineer - Daily Rates - Rolling Long-Term Contracts Exciting opportunities working on a global enterprise project solving complex business Python Engineer - Daily Rates - Rolling Long-Term Contracts - Comprehensive knowledge of Python Strong Linux/UNIX experience Experience building RESTful web APIs using Python frameworks such as Flask, Django"
26,Senior Python Developer - Hybrid,Solas IT  Recruitment,Updated 27/04/2022,https://www.irishjobs.ie/Jobs/Senior-Python-Developer-Hybrid-8769519.aspx,"5+ years Python development experience using web frameworks (Pyramid, Django, etc.) * Knowledge of threading limitations of Python, and multi-process architecture 'Python' 'Django 'OO Design' 'SOAP APIs' 'MySQL' 'RDS' Apply today - My client is an exciting, high-performing start-up who are changing the IT Asset Management industry. Apply today for more information."
27,Junior Python Developer,Reperio Human Capital Ltd,Updated 27/04/2022,https://www.irishjobs.ie/Jobs/Junior-Python-Developer-8777741.aspx,"I am working with a modern tech company in Dublin who are looking for a Junior (1-2 years) Python developer to join their team on a permanent, full-time basis. * 1-2years coding - Python, HTML Python Junior HTML Developer Engineer Dublin Ireland - Location - Dublin/Ireland - Permanent Full-Time - Job Description"
28,URGENT! Python Developer: Remote in Ireland,FRS Recruitment,Updated 26/04/2022,https://www.irishjobs.ie/Jobs/URGENT-Python-Developer-Remote-in-8776511.aspx,"Python Developer: Remote in Ireland My client, a leading Multinational, requires a talented Java Developer to join their Data Analytics team. Python Developer: Remote in Ireland * Proven track record in Python/Django Development python django linux oracle - My client, a leading Multinational, requires a talented Java Developer to join their Data Analytics team."
29,Python Engineer,Stelfox,Updated 26/04/2022,https://www.irishjobs.ie/Jobs/Python-Engineer-8776424.aspx,"Our client, a boutique fintech company that provides information on the financial health of public and private companies around the world, is looking to hire a Python engineer to join one of their two teams. * Good knowledge of Python"
30,Python/C++ Developer,Reperio Human Capital Ltd,Updated 25/04/2022,https://www.irishjobs.ie/Jobs/Python-C-Developer-8776293.aspx,I am working with a well established company in the fintech sector who are looking for mid and senior level Python developers who have had recent exposure to C++ to join their growing team in Dublin. * Python 4+years - Location - Dublin/Hybrid/Ireland - Permanent Full-Time - Job Description
31,"Full Stack Developer - Django, Python, PostgreSQL, AWS and Docker",REALTIME recruitment,Updated 27/04/2022,https://www.irishjobs.ie/Jobs/Full-Stack-Developer-Django-Python-8777211.aspx,Experience developing with Python. Django Python AWS Docker PostgreSQL JavaScript - Full-Stack Developer One of the most innovative companies in software solutions is looking to hire a Full Stack Developer! If you are looking to - Full-Stack Developer - One of the most innovative companies in software solutions is looking to hire a Full Stack Developer!
32,Python Developer,Brightwater,Updated 25/04/2022,https://www.irishjobs.ie/Jobs/Python-Developer-8775912.aspx,"They have an immediate requirement for a Python Developer to join their team. The client is looking for a Python Developer to work in the Finance Technology team. This position is for an experienced Python Developer with a strong ability to design & build business-critical systems, with emphasis on stability and performance."
33,Python QA Automation Engineer,EOLAS – IT RECRUITMENT SPECIALISTS JOBS,Updated 06/05/2022,https://www.irishjobs.ie/Jobs/Python-QA-Automation-Engineer-8773370.aspx,ideally the person will have good exposure to Python but they will also look at Java Automation Engineers who wish to work in a Python Test Automation environment. * ideally someone with solid programming skills in either Python or C++ Languages - QA Automation QA Automation Engineer Test Automation Engineer Python test engineer Software Developer in test
34,Backend Engineer (Python),Reperio Human Capital Ltd,Updated 26/04/2022,https://www.irishjobs.ie/Jobs/Backend-Engineer-Python-8776473.aspx,5+ years experience in backend development using Python Python Backend Developer Engineer Django Flask Go - Dublin €350-€400 Daily Rate - 6 Months Rolling Contract - I have a fantastic research and discovery client who is looking to build their backend development team.
35,Full Stack Software Engineers (Python/ UI),Stelfox,Updated 27/04/2022,https://www.irishjobs.ie/Jobs/Full-Stack-Software-Engineers-Python-8777373.aspx,"Expertise in Python programming - Full Stack Software Engineer Python Stelfox has exclusively partnered with a leading SaaS-based ITAM solutions provider delivering global IT Asset Management services to enterprise-level, SME, and pre-IPO customers."
36,"Data Scientist with Python, SQL",REALTIME recruitment,Updated 29/04/2022,https://www.irishjobs.ie/Jobs/Data-Scientist-with-Python-SQL-8771135.aspx,"Proficiency in Python, R or SAS Python R SQL - Want to work for one of the best workplaces in Ireland?? Industry giant looking for a Data Scientist to join their Irish operation. Apply - Apply sophisticated predictive modelling analysis that will result in the Organisation reach its growth target. This role is fully remote, permanent position."
37,Principal Engineer - Python + Scala + Spark + AWS + Java + Google Cloud,REALTIME recruitment,Updated 27/04/2022,https://www.irishjobs.ie/Jobs/Principal-Engineer-Python-Scala-Spark-8777210.aspx,Expertise in Python and Scala (Java desirable). Java Scala Spark Python AWS Google Cloud - Principal Engineer Are you looking to make an immediate impact at a company that welcomes diverse and bold thinking? We are looking for someone with - Principal Engineer - Are you looking to make an immediate impact at a company that welcomes diverse and bold thinking?
