"Address,""Port"",""Packets"",""Bytes"",""Tx Packets"",""Tx Bytes"",""Rx Packets"",""Rx Bytes"""
"192.168.3.131,57889,4,228,2,108,2,120"
"192.168.3.131,57899,4,228,2,108,2,120"
"192.168.3.131,57891,4,228,2,108,2,120"
"192.168.3.131,57901,4,228,2,108,2,120"
"192.168.3.131,57884,4,228,2,108,2,120"
"192.168.3.131,57882,4,228,2,108,2,120"
"192.168.3.131,57902,4,228,2,108,2,120"
"192.168.3.131,57896,4,228,2,108,2,120"
"192.168.3.131,57880,4,228,2,108,2,120"
"192.168.3.131,57897,4,228,2,108,2,120"
"192.168.3.131,57024,4,228,2,108,2,120"
"192.168.3.131,57230,4,228,2,108,2,120"
"172.16.255.1,10672,2,132,2,132,0,0"
"172.16.255.1,10673,2,132,2,132,0,0"
"172.16.255.1,10674,2,132,2,132,0,0"
"172.16.255.1,10675,2,132,2,132,0,0"
"172.16.255.1,10676,2,132,2,132,0,0"
"172.16.255.1,10677,2,132,2,132,0,0"
"192.168.3.131,57847,4,228,2,108,2,120"
"192.168.3.131,56430,4,246,2,120,2,126"
"192.168.3.131,57949,3,168,2,108,1,60"
"172.16.255.1,10692,2,132,2,132,0,0"
"172.16.255.1,10693,2,132,2,132,0,0"
"192.168.3.131,57058,4,228,2,108,2,120"
"174.36.30.111,80,3,554,2,312,1,242"
"192.168.3.131,49206,6,1108,2,484,4,624"
"174.36.30.111,5480,3,554,2,312,1,242"
"204.14.234.85,80,4,228,2,120,2,108"
"204.14.234.85,5480,4,228,2,120,2,108"
"74.217.50.10,80,3,168,1,60,2,108"
"208.82.238.129,80,3,186,1,66,2,120"
"65.55.25.60,443,3,168,1,60,2,108"
"172.16.255.1,10621,1,66,1,66,0,0"
"172.16.255.1,10624,1,66,1,66,0,0"
"172.16.255.1,10625,1,66,1,66,0,0"
"172.16.255.1,10626,1,66,1,66,0,0"
"172.16.255.1,10632,1,66,1,66,0,0"
"172.16.255.1,10633,1,66,1,66,0,0"
"172.16.255.1,10634,1,66,1,66,0,0"
"172.16.255.1,10678,1,66,1,66,0,0"
"172.16.255.1,10679,1,66,1,66,0,0"
"172.16.255.1,10685,1,66,1,66,0,0"
"172.16.255.1,10686,1,66,1,66,0,0"
"195.27.155.40,80,3,168,1,60,2,108"
"172.16.255.1,10694,1,66,1,66,0,0"
"172.16.255.1,10695,1,66,1,66,0,0"
"65.55.25.60,5443,3,168,1,60,2,108"
"208.50.77.136,80,3,168,1,60,2,108"
"208.50.77.136,5480,3,168,1,60,2,108"
"65.55.57.251,80,2,114,1,60,1,54"
"65.55.57.251,5480,2,114,1,60,1,54"
"74.125.127.148,80,3,168,1,60,2,108"
"65.55.206.9,80,3,168,1,60,2,108"
"74.125.127.148,5480,3,168,1,60,2,108"
"65.55.206.9,5480,3,168,1,60,2,108"
"207.46.216.54,5480,3,168,1,60,2,108"
