"Address,""Port"",""Packets"",""Bytes"",""Tx Packets"",""Tx Bytes"",""Rx Packets"",""Rx Bytes"""
"192.168.3.131,56073,49,36375,20,4906,29,31469"
"192.168.3.131,56168,55,51758,20,2601,35,49157"
"10.0.2.15,2552,44,19690,20,2744,24,16946"
"65.54.95.66,80,35,17998,19,12980,16,5018"
"192.168.3.131,56133,51,43958,19,1794,32,42164"
"172.16.255.1,10639,47,34318,19,4501,28,29817"
"192.168.3.131,56457,51,42116,19,1992,32,40124"
"192.168.3.131,55958,27,12422,18,8642,9,3780"
"192.168.3.131,55962,28,20619,18,8520,10,12099"
"192.168.3.131,56012,48,42350,18,1381,30,40969"
"192.168.3.131,56034,44,35687,18,4537,26,31150"
"172.16.255.1,10653,44,36607,18,1863,26,34744"
"172.16.255.1,10654,45,37828,18,1862,27,35966"
"67.215.65.132,443,39,8095,18,5263,21,2832"
"10.0.2.15,2547,42,19674,18,1978,24,17696"
"64.4.35.57,1863,34,3179,18,1523,16,1656"
"10.0.2.15,2551,40,18056,18,2678,22,15378"
"10.0.2.15,2553,40,17528,18,2738,22,14790"
"192.168.3.131,56438,38,26863,18,6188,20,20675"
"10.0.2.15,2554,38,16418,18,2536,20,13882"
"192.168.3.131,56500,49,42161,18,1842,31,40319"
"64.4.35.57,61863,34,3179,18,1523,16,1656"
"192.168.3.131,56068,42,30946,17,4133,25,26813"
"192.168.3.131,56132,46,40615,17,1836,29,38779"
"192.168.3.131,56165,50,46078,17,1880,33,44198"
"204.194.237.136,80,37,9854,17,6940,20,2914"
"192.168.3.131,56419,38,28535,17,5811,21,22724"
"192.168.3.131,56433,47,40073,17,1884,30,38189"
"192.168.3.131,56497,44,34093,17,3503,27,30590"
"192.168.3.131,57839,42,29465,16,7647,26,21818"
"192.168.3.131,55973,42,35896,16,1264,26,34632"
"192.168.3.131,56041,37,27034,16,2681,21,24353"
"192.168.3.131,56069,38,29456,16,4078,22,25378"
"192.168.3.131,56070,44,37842,16,1552,28,36290"
"192.168.3.131,56110,44,36928,16,1553,28,35375"
"192.168.3.131,56233,44,36620,16,1553,28,35067"
"10.0.2.15,2527,34,2674,16,1160,18,1514"
"172.16.255.1,10649,32,19692,16,7216,16,12476"
"192.168.3.131,56423,41,33547,16,1285,25,32262"
"192.168.3.131,56428,46,41112,16,1830,30,39282"
"192.168.3.131,56476,44,37746,16,1831,28,35915"
"192.168.3.131,56510,45,41052,16,1830,29,39222"
"192.168.3.131,57250,26,13340,16,11312,10,2028"
"65.55.5.231,80,45,29934,15,16000,30,13934"
"192.168.3.131,56055,30,14438,15,3629,15,10809"
"172.16.255.1,10648,24,12484,15,6502,9,5982"
"172.16.255.1,10655,34,25401,15,1714,19,23687"
"192.168.3.131,56320,46,31575,15,8385,31,23190"
"192.168.3.131,55968,25,7504,14,5654,11,1850"
"192.168.3.131,56039,32,21821,14,3170,18,18651"
"192.168.3.131,56051,46,30548,14,7729,32,22819"
"192.168.3.131,56061,22,8189,14,6527,8,1662"
"192.168.3.131,56093,37,30218,14,1444,23,28774"
"192.168.3.90,139,26,2088,14,1122,12,966"
"192.168.3.131,57231,26,13982,14,7036,12,6946"
"10.0.2.15,2545,30,8520,14,3140,16,5380"
"76.74.140.168,80,31,5905,14,2435,17,3470"
"192.168.3.131,57249,38,28128,14,8944,24,19184"
"192.168.3.131,55954,32,28053,13,2551,19,25502"
"72.14.213.101,80,29,7732,13,1970,16,5762"
"192.168.3.131,56038,28,17568,13,2516,15,15052"
"192.168.3.131,56040,29,19702,13,3119,16,16583"
"192.168.3.131,56044,30,20305,13,1244,17,19061"
"192.168.3.131,56059,25,10211,13,2859,12,7352"
"192.168.3.131,52402,36,28171,13,1734,23,26437"
"172.16.255.1,10640,31,20459,13,2199,18,18260"
"172.16.255.1,10688,24,2358,13,1317,11,1041"
"192.168.3.131,56424,37,33087,13,1246,24,31841"
"192.168.3.131,55963,25,15158,12,1853,13,13305"
"192.168.3.131,56027,20,9881,12,3693,8,6188"
"192.168.3.131,56056,22,7635,12,2855,10,4780"
"192.168.3.131,56066,31,23587,12,1297,19,22290"
"10.0.2.15,1095,26,2088,12,966,14,1122"
"10.0.2.15,2540,20,2108,12,1458,8,650"
"96.17.8.49,80,21,9837,12,8848,9,989"
"192.168.3.131,58547,16,1417,12,959,4,458"
"70.37.129.32,80,22,9845,12,8473,10,1372"
"96.17.8.49,5480,21,9837,12,8848,9,989"
"70.37.129.32,5480,22,9845,12,8473,10,1372"
"206.108.207.139,80,31,11685,11,4794,20,6891"
"192.168.3.131,56166,28,20197,11,1136,17,19061"
"204.9.163.184,443,21,2400,11,1251,10,1149"
"172.16.255.1,10641,24,13617,11,2091,13,11526"
"172.16.255.1,10642,24,14113,11,2091,13,12022"
"91.103.140.2,80,23,5505,11,3133,12,2372"
"213.146.189.205,443,24,2358,11,1041,13,1317"
"192.168.3.131,56319,25,17600,11,1564,14,16036"
"91.103.140.2,5480,23,5505,11,3133,12,2372"
"194.165.188.79,443,19,2058,10,937,9,1121"
"172.16.255.1,10637,21,2400,10,1149,11,1251"
"192.168.3.131,52399,24,9803,10,1673,14,8130"
"10.0.2.15,2539,16,2090,10,1362,6,728"
"10.0.2.15,2543,20,4004,10,2104,10,1900"
"65.55.116.184,80,20,3508,10,1668,10,1840"
"10.0.2.15,2546,16,2490,10,1604,6,886"
"172.16.255.1,10684,18,1310,10,699,8,611"
"10.0.2.15,2549,20,3012,10,1576,10,1436"
"172.16.255.1,10687,18,1291,10,670,8,621"
"172.16.255.1,10690,18,1318,10,698,8,620"
"192.168.3.131,56406,20,10127,10,3360,10,6767"
"192.168.3.131,56502,22,14921,10,3125,12,11796"
"192.168.3.131,49166,16,1968,10,1410,6,558"
"65.55.116.184,5480,20,3508,10,1668,10,1840"
"65.55.239.163,80,27,12422,9,3780,18,8642"
"192.168.3.131,56026,17,9001,9,2318,8,6683"
"192.168.3.131,56029,18,9120,9,1729,9,7391"
"65.55.118.107,80,23,6570,9,2077,14,4493"
"192.168.3.131,56057,19,8836,9,2316,10,6520"
"192.168.3.131,56060,19,8512,9,1590,10,6922"
"192.168.3.131,56141,16,3464,9,2555,7,909"
"192.168.3.131,56175,16,3464,9,2555,7,909"
"172.16.255.1,10627,19,2058,9,1121,10,937"
"172.16.255.1,10643,18,7773,9,1967,9,5806"
"64.4.9.254,1863,17,1337,9,757,8,580"
"66.235.143.184,443,24,12484,9,5982,15,6502"
"172.16.255.1,10658,16,1196,9,625,7,571"
"172.16.255.1,10671,16,1152,9,612,7,540"
"172.16.255.1,10682,16,1209,9,653,7,556"
"172.16.255.1,10683,16,1152,9,611,7,541"
"192.168.3.131,56326,19,8459,9,1548,10,6911"
"172.16.255.1,10689,16,1191,9,628,7,563"
"192.168.3.131,56332,16,3464,9,2555,7,909"
"192.168.3.131,56369,16,3464,9,2555,7,909"
"192.168.3.131,58609,21,13635,9,941,12,12694"
"72.14.213.120,443,17,6194,9,5025,8,1169"
"172.16.255.1,10696,16,1214,9,637,7,577"
"172.16.255.1,10697,16,1181,9,649,7,532"
"192.168.3.131,56503,21,13867,9,3074,12,10793"
"192.168.3.131,56504,18,9928,9,2214,9,7714"
"64.4.9.254,61863,17,1337,9,757,8,580"
"192.168.3.131,58770,21,17894,9,4633,12,13261"
"192.168.3.131,57011,13,4887,8,3271,5,1616"
"192.168.3.131,55956,13,6055,8,3933,5,2122"
"192.168.3.131,55972,12,3008,8,2156,4,852"
"192.168.3.131,56035,14,4044,8,2763,6,1281"
"206.108.207.163,80,17,3689,8,2639,9,1050"
"192.168.3.131,56054,13,3459,8,2420,5,1039"
"195.27.155.11,80,22,8189,8,1662,14,6527"
"192.168.3.131,56128,15,6968,8,2232,7,4736"
"192.168.3.131,58417,19,11845,8,887,11,10958"
"192.168.3.131,58486,18,10391,8,887,10,9504"
"172.16.255.1,10635,15,1258,8,768,7,490"
"109.255.178.86,443,15,1257,8,675,7,582"
"192.168.3.131,58543,19,11834,8,887,11,10947"
"109.229.25.126,443,18,1310,8,611,10,699"
"109.90.123.126,443,18,1291,8,621,10,670"
"192.168.3.131,56359,17,10251,8,2366,9,7885"
"172.16.255.1,10691,14,3847,8,2832,6,1015"
"192.168.3.131,52497,17,6194,8,1169,9,5025"
"192.168.3.131,56501,18,11628,8,2159,10,9469"
"192.168.3.131,57233,12,9626,8,7374,4,2252"
"192.168.3.131,57242,12,718,8,478,4,240"
"192.168.3.131,58272,15,7994,7,954,8,7040"
"192.168.3.131,58310,16,9897,7,910,9,8987"
"192.168.3.131,56028,14,6506,7,1012,7,5494"
"192.168.3.131,58327,15,7444,7,960,8,6484"
"192.168.3.131,56090,15,4900,7,1050,8,3850"
"192.168.3.131,56091,16,7067,7,1050,9,6017"
"192.168.3.131,56092,15,6490,7,1050,8,5440"
"192.168.3.131,58351,17,10563,7,833,10,9730"
"192.168.3.131,58353,17,11113,7,833,10,10280"
"192.168.3.131,56111,14,5272,7,1050,7,4222"
"192.168.3.131,56112,15,6798,7,1050,8,5748"
"192.168.3.131,56113,15,6981,7,1050,8,5931"
"192.168.3.131,58378,16,10091,7,833,9,9258"
"192.168.3.131,58464,17,10305,7,1011,10,9294"
"192.168.3.131,56234,15,6715,7,1050,8,5665"
"192.168.3.131,56235,14,5771,7,1050,7,4721"
"192.168.3.131,56236,15,6154,7,1050,8,5104"
"192.168.3.131,58490,17,10860,7,833,10,10027"
"192.168.3.131,56255,15,6264,7,1050,8,5214"
"192.168.3.131,56256,14,5559,7,1050,7,4509"
"192.168.3.131,56257,15,6502,7,1050,8,5452"
"194.165.188.76,443,15,1258,7,490,8,768"
"172.16.255.1,10659,15,1257,7,582,8,675"
"172.16.255.1,10661,13,2637,7,920,6,1717"
"172.16.255.1,10665,13,2745,7,964,6,1781"
"172.16.255.1,10664,13,2713,7,948,6,1765"
"172.16.255.1,10668,13,3208,7,958,6,2250"
"172.16.255.1,10669,12,3362,7,1020,5,2342"
"192.168.3.131,58544,18,10523,7,1016,11,9507"
"192.168.3.131,56360,13,5208,7,1352,6,3856"
"192.168.3.131,56363,16,7694,7,1007,9,6687"
"192.168.3.131,56454,15,6504,7,1282,8,5222"
"192.168.3.131,56455,14,5181,7,1282,7,3899"
"192.168.3.131,56456,15,6455,7,1282,8,5173"
"192.168.3.131,58668,17,10640,7,833,10,9807"
"192.168.3.131,56477,14,4770,7,1282,7,3488"
"192.168.3.131,56478,14,4709,7,1282,7,3427"
"192.168.3.131,56479,15,7022,7,1282,8,5740"
"192.168.3.131,56505,16,9162,7,2702,9,6460"
"204.14.234.101,443,17,11690,7,4539,10,7151"
"204.14.234.101,8443,17,11690,7,4539,10,7151"
"66.235.136.89,443,19,7029,7,1134,12,5895"
"66.235.136.89,8443,19,7029,7,1134,12,5895"
"192.168.3.131,58794,16,10026,7,833,9,9193"
"192.168.3.131,55966,10,1709,6,851,4,858"
"192.168.3.131,55967,12,5520,6,976,6,4544"
"63.215.202.49,80,12,5520,6,4544,6,976"
"192.168.3.131,58265,14,8046,6,942,8,7104"
"192.168.3.131,52201,11,2855,6,518,5,2337"
"192.168.3.131,52203,11,2855,6,518,5,2337"
"192.168.3.131,52204,11,2855,6,518,5,2337"
"192.168.3.131,52205,11,2855,6,518,5,2337"
"192.168.3.131,52206,11,2855,6,518,5,2337"
"192.168.3.131,52207,11,2855,6,518,5,2337"
"192.168.3.131,52208,11,1305,6,813,5,492"
"192.168.3.131,52209,11,1305,6,813,5,492"
"192.168.3.131,52210,11,1305,6,813,5,492"
"192.168.3.131,52211,11,1305,6,813,5,492"
"192.168.3.131,52212,11,1305,6,813,5,492"
"192.168.3.131,52213,11,1305,6,813,5,492"
"192.168.3.131,52214,11,1305,6,813,5,492"
"192.168.3.131,52215,11,1305,6,813,5,492"
"192.168.3.131,58304,14,8122,6,891,8,7231"
"192.168.3.131,56021,15,4716,6,1671,9,3045"
"192.168.3.131,56030,10,2185,6,929,4,1256"
"192.168.3.131,56031,10,2631,6,931,4,1700"
"192.168.3.131,56032,10,2121,6,920,4,1201"
"192.168.3.131,56033,10,2128,6,921,4,1207"
"192.168.3.131,52248,11,1107,6,631,5,476"
"192.168.3.131,52257,11,1073,6,597,5,476"
"192.168.3.131,58352,14,7153,6,779,8,6374"
"192.168.3.131,52266,11,1107,6,631,5,476"
"192.168.3.131,58361,16,10165,6,779,10,9386"
"192.168.3.131,58377,15,9617,6,779,9,8838"
"192.168.3.131,56126,17,3591,6,336,11,3255"
"192.168.3.131,58381,11,1153,6,635,5,518"
"192.168.3.131,56127,11,2994,6,1234,5,1760"
"192.168.3.131,58389,14,7746,6,779,8,6967"
"192.168.3.131,56160,11,1514,6,1046,5,468"
"192.168.3.131,58411,11,1153,6,635,5,518"
"192.168.3.131,56194,11,1514,6,1046,5,468"
"192.168.3.131,58443,11,1153,6,635,5,518"
"72.14.213.156,80,12,684,6,360,6,324"
"192.168.3.131,56213,11,1513,6,1046,5,467"
"192.168.3.131,56214,11,1513,6,1046,5,467"
"192.168.3.131,58517,13,5970,6,779,7,5191"
"172.16.255.1,10670,12,3284,6,936,6,2348"
"192.168.3.131,56292,11,1514,6,1046,5,468"
"192.168.3.131,56313,11,1513,6,1046,5,467"
"192.168.3.131,56314,11,1513,6,1046,5,467"
"192.168.3.131,56324,9,2526,6,1730,3,796"
"192.168.3.131,56327,11,1762,6,947,5,815"
"192.168.3.131,56328,11,1318,6,994,5,324"
"192.168.3.131,56351,11,1514,6,1046,5,468"
"192.168.3.131,56358,10,2462,6,1280,4,1182"
"192.168.3.131,56386,11,1514,6,1046,5,468"
"192.168.3.131,56407,11,1827,6,1360,5,467"
"192.168.3.131,56408,11,1827,6,1360,5,467"
"192.168.3.131,56422,10,1964,6,1202,4,762"
"192.168.3.90,445,16,1968,6,558,10,1410"
"208.50.77.134,80,18,1008,6,360,12,648"
"208.50.77.134,5480,18,1008,6,360,12,648"
"192.168.3.131,58787,15,9015,6,779,9,8236"
"192.168.3.131,58793,15,8781,6,779,9,8002"
"192.168.3.131,58795,11,1153,6,635,5,518"
"192.168.3.131,55950,9,1953,5,1226,4,727"
"192.168.3.131,55955,8,1185,5,730,3,455"
"192.168.3.131,55971,8,2946,5,1497,3,1449"
"207.46.216.54,80,15,3176,5,912,10,2264"
"192.168.3.131,58264,9,1291,5,835,4,456"
"192.168.3.131,58303,9,1292,5,834,4,458"
"192.168.3.131,58305,10,2437,5,677,5,1760"
"192.168.3.131,56042,8,1669,5,920,3,749"
"192.168.3.131,56052,9,3016,5,921,4,2095"
"206.108.207.145,80,13,3459,5,1039,8,2420"
"192.168.3.131,58350,10,3571,5,871,5,2700"
"192.168.3.131,58360,10,3621,5,871,5,2750"
"192.168.3.131,56129,9,3571,5,927,4,2644"
"192.168.3.131,56135,9,3023,5,928,4,2095"
"192.168.3.131,56136,9,936,5,282,4,654"
"192.168.3.131,58388,12,4933,5,901,7,4032"
"192.168.3.131,56163,8,1676,5,927,3,749"
"192.168.3.131,56167,9,3579,5,1166,4,2413"
"192.168.3.131,56169,9,936,5,282,4,654"
"192.168.3.131,58410,10,3616,5,874,5,2742"
"192.168.3.131,58416,10,3987,5,905,5,3082"
"192.168.3.131,58434,11,4903,5,909,6,3994"
"192.168.3.131,58439,10,3503,5,878,5,2625"
"192.168.3.131,58440,10,3990,5,908,5,3082"
"172.16.255.1,10616,10,928,5,347,5,581"
"172.16.255.1,10617,10,928,5,347,5,581"
"172.16.255.1,10618,10,928,5,347,5,581"
"172.16.255.1,10619,10,928,5,347,5,581"
"172.16.255.1,10620,10,928,5,347,5,581"
"192.168.3.131,58485,10,3553,5,873,5,2680"
"192.168.3.131,58487,10,3504,5,873,5,2631"
"172.16.255.1,10630,10,1086,5,501,5,585"
"192.168.3.131,58542,10,3713,5,873,5,2840"
